,gloss,wnid,words
232,of North America and Eurasia,n12961242,"daisyleaf grape fern, daisy-leaved grape fern, Botrychium matricariifolium"
233,European fern with leathery and sparsely hairy fronds,n12961393,"leathery grape fern, Botrychium multifidum"
234,American fern whose clustered sporangia resemble a snake's rattle,n12961536,"rattlesnake fern, Botrychium virginianum"
235,Australasian fern with clusters of sporangia on stems of fertile fronds,n12961879,"flowering fern, Helminthostachys zeylanica"
236,large scrambling fern forming large patches to 18 feet high; Pacific region and China,n13170840,"giant scrambling fern, Diplopterygium longissimum"
237,large Australasian fern with fanlike repeatedly forked fronds; sometimes placed in genus Gleichenia,n13171210,"umbrella fern, fan fern, Sticherus flabellatus, Gleichenia flabellata"
238,any of numerous ferns of the genus Polypodium,n13172923,polypody
239,fern having rootstock of a sweetish flavor,n13173132,"licorice fern, Polypodium glycyrrhiza"
240,fern growing on rocks or tree trunks and having fronds greyish and scurfy below; Americas and South Africa,n13173259,"grey polypody, gray polypody, resurrection fern, Polypodium polypodioides"
241,stiff leathery-leaved fern of western North America having ovate fronds parted to the midrib,n13173488,"leatherleaf, leathery polypody, coast polypody, Polypodium scouleri"
242,chiefly lithophytic or epiphytic fern of North America and east Asia,n13173697,"rock polypody, rock brake, American wall fern, Polypodium virgianum"
243,mat-forming lithophytic or terrestrial fern with creeping rootstocks and large pinnatifid fronds found throughout North America and Europe and Africa and east Asia,n13173882,"common polypody, adder's fern, wall fern, golden maidenhair, golden polypody, sweet fern, Polypodium vulgare"
244,epiphytic fern with large fronds; Taiwan and Philippines,n13174354,"bear's-paw fern, Aglaomorpha meyeniana"
245,fern with long narrow strap-shaped leaves,n13174670,strap fern
246,common epiphytic or sometimes terrestrial fern having pale yellow-green strap-shaped leaves; Florida to West Indies and Mexico and south to Uruguay,n13174823,"Florida strap fern, cow-tongue fern, hart's-tongue fern"
247,fern with shorter and narrower leaves than Florida strap fern; Florida to West Indies and Mexico and south to Argentina,n13175074,"Central American strap fern, narrow-leaved strap fern, Campyloneurum augustifolium"
248,giant epiphytic or lithophytic fern; Asia to Polynesia and Australia,n13175682,"basket fern, Drynaria rigidula"
249,any of several bizarre ferns of the genus Lecanopteris having swollen hollow rhizomes that provide homes for symbiotic ants,n13176000,lecanopteris
250,epiphytic ferns with long rhizomes; tropical America,n13176363,"snake polypody, Microgramma-piloselloides"
251,tropical Africa to Australasia and Polynesia,n13176714,"climbing bird's nest fern, Microsorium punctatum"
252,tropical American fern with brown scaly rhizomes cultivated for its large deeply lobed deep bluish-green fronds; sometimes placed in genus Polypodium,n13177048,"golden polypody, serpent fern, rabbit's-foot fern, Phlebodium aureum, Polypodium aureum"
253,any of various tropical ferns of the genus Platycerium having large flat lobed fronds often resembling the antlers of a stag,n13177529,staghorn fern
254,fern of Peru and Bolivia,n13177768,"South American staghorn, Platycerium andinum"
255,commonly cultivated fern of Australia and southeastern Asia and Polynesia,n13177884,"common staghorn fern, elkhorn fern, Platycerium bifurcatum, Platycerium alcicorne"
256,east Asian fern having fronds shaped like tongues; sometimes placed in genus Cyclophorus,n13178284,"felt fern, tongue fern, Pyrrosia lingua, Cyclophorus lingua"
257,small epiphytic fern of South America with tuberous swellings along rhizomes,n13178707,"potato fern, Solanopteris bifrons"
258,epiphytic fern found in lowland forests of tropical America,n13179804,"grass fern, ribbon fern, Vittaria lineata"
259,any of various chiefly rock-inhabiting ferns of the genus Asplenium,n13180534,spleenwort
260,spleenwort of Europe and Africa and Asia having pinnate fronds and yielding an astringent,n13180875,"black spleenwort, Asplenium adiantum-nigrum"
261,common North American fern with polished black stripes,n13181244,"ebony spleenwort, Scott's Spleenwort, Asplenium platyneuron"
262,fern of tropical America: from southern United States to West Indies and Mexico to Brazil,n13181406,"black-stem spleenwort, black-stemmed spleenwort, little ebony spleenwort"
263,ferns having lanceolate fronds that root at the tip,n13181811,"walking fern, walking leaf, Asplenium rhizophyllum, Camptosorus rhizophyllus"
264,small rock-inhabiting fern of northern temperate zone and Hawaii with pinnate fronds,n13181988,"maidenhair spleenwort, Asplenium trichomanes"
265,a small fern with slim green fronds; widely distributed in cool parts of northern hemisphere,n13182164,"green spleenwort, Asplenium viride"
266,a spleenwort of eastern North America,n13182338,"mountain spleenwort, Asplenium montanum"
267,small delicate spleenwort found on a steep slope (as a wall or cliff) of Eurasia and North America,n13182462,"wall rue, wall rue spleenwort, Asplenium ruta-muraria"
268,a spleenwort of eastern to southern United States,n13182662,"Bradley's spleenwort, Asplenium bradleyi"
269,a spleenwort of eastern and southern United States,n13182799,"lobed spleenwort, Asplenium pinnatifidum"
270,a spleenwort of western Europe,n13182937,"lanceolate spleenwort, Asplenium billotii"
271,tropical Old World or Australian epiphytic fern frequently forming tufts in tree crotches,n13181055,"bird's nest fern, Asplenium nidus"
272,Eurasian fern with simple lanceolate fronds,n13183056,"hart's-tongue, hart's-tongue fern, Asplenium scolopendrium, Phyllitis scolopendrium"
273,small European fern with chaffy leathery fronds,n13183489,"scale fern, scaly fern, Asplenium ceterach, Ceterach officinarum"
274,a fern of the genus Schaffneria,n13184001,"Schaffneria nigripes, Asplenium nigripes, Scolopendrium nigripes"
275,a fern thought to resemble a millipede,n13184394,scolopendrium
276,any of several ferns of the genus Blechnum,n13185134,hard fern
277,fern with erect fronds of Europe and western North America; often cultivated for deer browse,n13185269,"deer fern, Blechnum spicant"
278,any fern of the genus Doodia having pinnate fronds with sharply dentate pinnae,n13185658,"doodia, rasp fern"
279,a fern of the genus Woodwardia having the sori in chainlike rows,n13186388,chain fern
280,North American fern,n13186546,"Virginia chain fern, Woodwardia virginica"
281,any of numerous usually tropical ferns having a thick woody stem or caudex and a crown of large fronds; found especially in Australia and New Zealand; chiefly of the families Cyatheaceae and Marattiaceae but some from Polypodiaceae,n13186654,tree fern
282,a showy tree fern of New Zealand and Australia having a crown of pinnated fronds with whitish undersides,n13187367,"silver tree fern, sago fern, black tree fern, Cyathea medullaris"
283,of Australia and Tasmania; often cultivated; hardy in cool climates,n13190747,"soft tree fern, Dicksonia antarctica"
284,Asiatic tree fern having dense matted hairs sometimes used as a styptic,n13191148,"Scythian lamb, Cibotium barometz"
285,a terrestrial tree fern of South America,n13191884,"thyrsopteris, Thyrsopteris elegans"
286,highly variable species of very large primitive ferns of the Pacific tropical areas with high rainfall,n13215586,"angiopteris, giant fern, Angiopteris evecta"
287,any fern of the genus Davallia; having scaly creeping rhizomes,n13188096,davallia
288,feathery fern of tropical Asia and Malaysia,n13188767,"squirrel's-foot fern, ball fern, Davalia bullata, Davalia bullata mariesii, Davallia Mariesii"
289,either of two ferns of the genus Davallia having a soft grey hairy rootstock,n13188268,hare's-foot fern
290,fern of the Canary Islands and Madeira,n13188462,"Canary Island hare's foot fern, Davallia canariensis"
291,a hare's-foot fern of the genus Davallia,n13188619,"Australian hare's foot, Davallia pyxidata"
292,fern of eastern North America with pale green fronds and an aroma like hay,n13189428,"hay-scented, hay-scented fern, scented fern, boulder fern, Dennstaedtia punctilobula"
293,large coarse fern often several feet high; essentially weed ferns; cosmopolitan,n13189844,"bracken, pasture brake, brake, Pteridium aquilinum"
294,fern of southeastern Asia; not hardy in cold temperate regions,n13190060,"bracken, Pteridium esculentum"
295,"resembles Pteridium aquilinum; of Queensland, Australia",n13191620,"false bracken, Culcita dubia"
296,any of various ferns of the genera Dryopteris or Polystichum or Lastreopsis having somewhat shield-shaped coverings on the sori,n13192625,"shield fern, buckler fern"
297,European shield fern,n13193143,"broad buckler-fern, Dryopteris dilatata"
298,North American fern with a blackish lustrous stipe,n13193466,"Goldie's fern, Goldie's shield fern, goldie's wood fern, Dryopteris goldiana"
299,European shield fern cultivated in many varieties,n13200651,"soft shield fern, Polystichum setiferum"
300,any of various ferns of the genus Dryopteris,n13193642,"wood fern, wood-fern, woodfern"
